1,팡쇼과자점,044-865-0402,세종 노을3로 25 세종프라자 103~105호,08:00 ~ 22:00,없음,20:30,마늘바게트," ₩	5,200 ",4,0,0,0,0,x,직접 제조하는 빵을 당일생산 당일판매를 원칙으로 하고있으며
,,,,,,,팥방," ₩	2,500 ",,,,,,,자연생크림을 이용하여 만든 빵들을 커피와 함께 즐길 수 있는 카페
,,,,,,,소금방," ₩	2,500 ",,,,,,,
,,,,,,,바질크런치," ₩	4,900 ",,,,,,,
,,,,,,,롱소시지베이글," ₩	4,200 ",,,,,,,
,,,,,,,,,,,,,,,
2,바이올렛 커피 앤 브런치,0507-1403-0057,세종 노을3로 90 한솔퍼스티움 4층,10:00 ~ 22:00,월요일,21:30,소금커피," ₩	5,500 ",17,0,0,x,0,x,넓은 매장과 사장님이 유기묘를 돌봐주고있어 
,,,,,,,달고나라떼," ₩	5,500 ",야외5,,,,,,커피도 마시며 고양이와 함께 힐링할 수 있는 카페
,,,,,,,딸기우유," ₩	5,000 ",,,,,,,
,,,,,,,미니초코쿠키," ₩	2,500 ",,,,,,,
,,,,,,,쌀_스모어쿠키," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
3,향함가게,044-863-3125,세종 누리로 106,10:00 ~ 22:00,없음,21:30,에스프레소," ₩	2,500 ",10,0,0,x,0,x,진짜 전문가의 손길로 로스팅한 진하고 깊은향의 원두를 맛볼 수 있는 카페
,,,,,,,아메리카노," ₩	3,500 ",,,,,,,바리스타시험장으로도 이용되는 곳
,,,,,,,카페라떼," ₩	3,800 ",,,,,,,
,,,,,,,스콘," ₩	3,000 ",,,,,,,
,,,,,,,(얼그레이/플레인),,,,,,,,
,,,,,,,,,,,,,,,
4,카페한솔,0507-1348-1252,세종 누리로 28 첫마을 6단지 비상가동 109호,09:00 ~ 19:00,일요일,18:50,아메리카노," ₩	3,500 ",3,0,0,0,0,x,매장과 농장에서 직접 키운 수경재배로 만든 신선한 샌드위치와 맛있는 커피를 
,,,,,,,썸머라떼," ₩	6,000 ",,,,,,,즐길 수 있는 휴식같은 느낌의 공간을 느낄 수 있는 카페
,,,,,,,한솔토스트," ₩	4,000 ",,,,,,,
,,,,,,,한솔샌드위치," ₩	6,000 ",,,,,,,
,,,,,,,,,,,,,,,
5,브라운힐스카페,0507-1361-7717,세종 노을3로 84 1층 (한솔동 주민센터 맞은편),09:00 ~ 22:30,없음,22시,아메리카노," ₩	3,000 ",13,0,0,x,0,x,대화하기 편한 넓은 테이블과 분위기좋고 모임하기 좋은 카페
,,,,,,,더치커피," ₩	4,500 ",야외2,,,,,,
,,,,,,,아인슈페너," ₩	5,000 ",,,,,,,
,,,,,,,블루레몬에이드," ₩	5,000 ",,,,,,,
,,,,,,,단팥빵," ₩	1,800 ",,,,,,,
,,,,,,,,,,,,,,,
6,다워라,0507-1347-9906,세종 노을1로 16 첫마을 202동 상가 154호,10:00 ~ 22:00,일요일,21:30,사케라또," ₩	4,500 ",4,0,0,x,0,0,아기자기한 인테리어로 매장 전체가 포토존같은 느낌을 주는 카페
,,,,,,,아인슈페너," ₩	4,500 ",,,,,,,
,,,,,,,다워라떼," ₩	4,700 ",,,,,,,
,,,,,,,생강카푸치노," ₩	4,700 ",,,,,,,
,,,,,,,수제차 (생강/대추),4500 / 6500,,,,,,,
,,,,,,,리얼바닐라빈라떼," ₩	5,500 ",,,,,,,
,,,,,,,흑임자크림라떼," ₩	5,500 ",,,,,,,
,,,,,,,ICE쑥크림라떼," ₩	5,700 ",,,,,,,
,,,,,,,발로나초코플롯," ₩	5,500 ",,,,,,,
,,,,,,,,,,,,,,,
7,솔마루카페,0507-1340-1601,"세종특별자치시 나리로 57-26, 한솔동 복컴 정음관 2층",09:00 ~ 17:00,"토,일",16:30,아메리카노," ₩	2,000 ",9,0,0,x,0,x,주민센터 내부에 있으며 대화하기 좋고 지자체 운영으로 가성비좋은 음료를 마실 수 있는 카페
,,,,,,,카페라떼," ₩	2,500 ",,,,,,,
,,,,,,,생바나나카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,오곡라떼," ₩	3,000 ",,,,,,,
