,,,,,,,늘샌드위치," ₩	6,500 ",,,,,,,
,,,,,,,,,,,,,,,
11,연서데어리,010-4288-4919,세종 새롬중앙로 47,10:00 ~ 20:00,일요일,19:00,연서비비드," ₩	6,000 ",6,0,0,x,0,x,목장에서 직접 받은 신선한 원유로 만든 요거트와 그릭요거트를 느낄 수 있는 카페
,,,,,,,연서그릭,3500~,,,,,,,
,,,,,,,플레인라씨," ₩	3,500 ",,,,,,,
,,,,,,,요거플레인," ₩	3,000 ",,,,,,,
,,,,,,,비프샐러드," ₩	12,000 ",,,,,,,
,,,,,,,,,,,,,,,
12,소기소기,044-865-3009,세종 새롬중앙로 41 무지개타원 1층 103호,09:30 ~ 23:00,일요일,22:30,아메리카노," ₩	3,800 ",5,0,0,x,0,0,아담하고 포근한 느낌의 인테리어로 아지트같은 느낌을 내는 카페
,,,,,,,더치커피," ₩	4,000 ",야외1,,,,,야외가능,
,,,,,,,플랫화이트," ₩	4,300 ",,,,,,,
,,,,,,,코코크리미라떼," ₩	6,000 ",,,,,,,
,,,,,,,소금커피," ₩	6,000 ",,,,,,,
,,,,,,,,,,,,,,,
13,카페브릿지,044-715-7982,세종 새롬중앙로 64 영광프라자 6층 ,10:00 ~ 18:00,월요일,17:00,아메리카노," ₩	2,500 ",14,0,0,x,0,x,넓고 쾌적한 인테리어와 스페셜티를 즐길 수 있는 카페
,,,,14:00 ~ 17:00,,16:00,스페셜티아메리카노," ₩	3,800 ",,,,,,,
,,,,,,,카페라떼," ₩	4,200 ",,,,,,,
,,,,,,,abc쥬스," ₩	6,000 ",,,,,,,
,,,,,,,(달콤케일/튼튼비트),,,,,,,,
,,,,,,,,,,,,,,,
14,콩카페,044-715-5037,세종 새롬중앙로 44 행정복지센터 2층,09:00 ~ 17:00,"토,일",16:30,아메리카노," ₩	2,500 ",4,0,0,x,0,x,지역어른들의 사회참여를 복돋기 위한 곳으로 정겨운 분위기를 느낄 수 있는
,,,,,,,카페라떼," ₩	3,000 ",,,,,,,복지센터 내에 위치한 북카페
,,,,,,,카페모카," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
15,커피310,0507-1412-0319,세종 새롬중앙1로 13 상가 1동 120호,"00:00 ~ 24""00",없음,없음,아메리카노," ₩	1,600 ",4,0,0,x,0,x,365일 24시간 운영하는 무인카페로 언제나 부담없이 커피를 즐길 수 있는 카페
,,,,,,,스페셜티아메리카노," ₩	2,300 ",,,,,,,
,,,,,,,카페라떼," ₩	2,700 ",,,,,,,
,,,,,,,리얼초코," ₩	2,500 ",,,,,,,
,,,,,,,,,,,,,,,
16,정브레드,044-864-3311,세종 새롬동 593,10:00 ~ 22:00,일요일,재료소진,단팥빵," ₩	1,200 ",0,0,x,x,0,x,매장에서 직접 만든 따끈따끈한 빵을 합리적은 금액에 먹어볼 수 있는 빵집
,,,,,,,슈크림," ₩	1,200 ",,,,,,,
,,,,,,,마늘빵," ₩	1,200 ",,,,,,,
,,,,,,,소보루," ₩	1,200 ",,,,,,,
,,,,,,,맘모스빵," ₩	4,000 ",,,,,,,
,,,,,,,,,,,,,,,
17,아마레나,0507-1373-5441,세종 새롬중앙로 33 새뜸프라자 105호,13:00 ~ 22:00,월요일,21:50,컵젤라또," ₩	4,000 ",3,0,0,0,0,x,찾아보기 힘든 젤라또 전문매장으로 진정한 젤라또의 맛을 느낄 수 있는 카페
,,,,,,,콘젤라또," ₩	4,500 ",,,,,,,
,,,,,,,아메리카노," ₩	3,000 ",,,,,,,
,,,,,,,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,수제청 (유자/레몬)," ₩	5,000 ",,,,,,,
,,,,,,,,,,,,,,,
18,춘심이네빵집,0507-1335-6684,세종 새롬중앙로 55 행운빌딩 1층 111호,11:00 ~ 19:00,"일,월",재료소진시,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
19,세롬카페,044-862-7870,세종 새롬동 64-1 남부통합보건지소,10:00 ~ 18:00,일요일,17:30,아메리카노," ₩	2,500 ",12,0,0,x,0,0,시에서 운영하는 합리적인 금액에 음료를 만나볼 수 있는 카페
,,,,,,,아포가토," ₩	4,000 ",야외2,,,,,야외가능,1시간 시간제한있음
,,,,,,,곡물라떼," ₩	3,000 ",,,,,,,
,,,,,,,생과일쥬스 (계절과일)," ₩	4,000 ",,,,,,,
,,,,,,,에이드 (자옴/레몬/망고)," ₩	3,500 ",,,,,,,
