1,3-3커피,0507-1344-9344,세종 국책연구원1로 15 새샘마을9단지 상가a동 104,08:00 ~ 18:30,없음,18시,브루잉(핸드드립),4500 ~ 6000,2,0,0,x,0,x,힙한 감성과 맛있는 커피들 그리고 원두부터 티백까지 판매하는 샵인샵 카페
,,,,"토,일 10:00 ~ 15:30",,15시,아메리카노," ₩	3,300 ",,,,,,,
,,,,,,,커피플로트 (디카페인가능)," ₩	5,000 ",,,,,,,
,,,,,,,"바닐라라떼,카페모카,돌체라떼"," ₩	4,300 ",,,,,,,
,,,,,,,밀크티(어썸)," ₩	4,000 ",,,,,,,
,,,,,,,상하이목장우유," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
2,르 쁘띠 파티세리,070-5029-5176,세종 소담4로 7 새샘마을8단지 근생시설 3동 1층 71호,08:00 ~ 18:00,,17:30,아메리카노," ₩	3,500 ",3,0,0,x,0,x,파티시에가 직접 만드는 믿을 수 있는 수제디저트와 커피를 함께 즐길 수 있는 카페
,,,,"일,월 08:00 ~ 16:00",,15:30,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,재료소진,마들렌,,,,,,,,
,,,,,,,(바닐라/초코)," ₩	2,500 ",,,,,,,
,,,,,,,밤마들렌," ₩	3,000 ",,,,,,,
,,,,,,,쿠키,,,,,,,,
,,,,,,,(피칸/아메리칸/오트밀코코)," ₩	3,500 ",,,,,,,
,,,,,,,다쿠아즈,,,,,,,,
,,,,,,,(피칸바닐라/파스타치오)," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
3,옷고시,0507-1315-1883,세종 한누리대로 1978 CJ소담프라자 1층 101호,09:00 ~ 22:00,없음,21:30,전통차,,12,0,0,x,0,x,현대식 한옥인테리어로 전통의 느낌을 살린 디자인과 여유를 즐기며 전통차를 즐길 수 있는 카페
,,,,"토,일 11:00 ~ 21:30",,21시,쌍화차/대추차," ₩	7,000 ",,,,,,,
,,,,,,,생강차/메실차/오미자차," ₩	6,000 ",,,,,,,
,,,,,,,수제차,,,,,,,,
,,,,,,,석류레몬/오렌지자몽," ₩	6,000 ",,,,,,,
,,,,,,,에이드,,,,,,,,
,,,,,,,청포토/레몬/자몽," ₩	5,500 ",,,,,,,
,,,,,,,수제백향과에이드," ₩	6,500 ",,,,,,,
,,,,,,,,,,,,,,,
4,바이너리커피,070-4116-0101,세종 소담3로 8 새샘마을7단지 상가 1층,09:00 ~ 20:00,토,19:30,바이너리라떼," ₩	6,000 ",4,0,0,0,0,x,심플한 인테리어와 바이너리카페 만의 시그니처를 즐길 수 있는 카페
,,,,,,,마스카포네크림라떼," ₩	5,500 ",,,,,,,
,,,,,,,바이너리모카," ₩	5,500 ",,,,,,,
,,,,,,,세종선셋," ₩	5,500 ",,,,,,,
,,,,,,,크리미아몬드라떼," ₩	5,500 ",,,,,,,
,,,,,,,,,,,,,,,
5,L.IS.H,044-414-9552,세종 한누리대로 2007 107호,09:00 ~ 23:00,없음,22:45,이사님라떼(시그니처)," ₩	5,500 ",3,0,0,0,0,x,재밌는 이름처럼 사장님의 센스를 엿볼 수 있는 카페
,(latte is horse),,,11:00 ~ 18:30,,18:15,신입사원(아메리카노)," ₩	3,500 ",,,,,,,
,라떼는말이야,,,10:00 ~ 18:30,,18:15,대리라떼(카페라떼)," ₩	4,300 ",,,,,,,
,,,,,,,과장님라떼(바닐라라떼)," ₩	4,500 ",,,,,,,
,,,,,,,부장님라떼(돌체연유라떼)," ₩	4,800 ",,,,,,,
,,,,,,,인턴(초코라떼)," ₩	4,500 ",,,,,,,
,,,,,,,,,,,,,,,
6,달콤제작소,010-8367-8448,세종 한누리대로 1962 법조타운B 118호,08:00 ~ 18:30,"토,일",18시,아메리카노," ₩	3,500 ",3,0,0,0,0,x,기본에 충실한 음료와 매일 직접만드는 수제구움과자가 맛있는 카페
,,,,,,,달콤라떼(연유라떼)," ₩	4,500 ",,,,,,,
,,,,,,,수제뚱카롱,,,,,,,,
,,,,,,,딸기/초코크림치즈/돼지바/소금바닐라/황치즈," ₩	2,000 ",,,,,,,
,,,,,,,흑임자/말차초코칩/순수우유/라즈베리요거트,,,,,,,,
,,,,,,,미니마들렌," ₩	2,000 ",,,,,,,
,,,,,,,에그타르트," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
7,요거다,010-5495-0884,세종 소담3로 8 새샘마을7단지 상가 1층 88호,09:00 ~ 21:00,일,20:30,무가당플레인," ₩	5,500 ",2,0,0,x,0,0,"수제청 스페셜 메뉴와 100%원유,유산균,비타민이 함유 된 건강하고 맛있는 그릭요거트 전문점"
,,,,,,,블루베리/복숭아," ₩	6,500 ",,,,,,,
,,,,,,,오레오컵케이크," ₩	4,500 ",,,,,,,
,,,,,,,그레놀라오리지널," ₩	4,500 ",,,,,,,
,,,,,,,아메리카노," ₩	3,500 ",,,,,,,
,,,,,,,수제딸기라떼," ₩	5,000 ",,,,,,,
,,,,,,,수제레몬청에이드," ₩	5,000 ",,,,,,,
,,,,,,,,,,,,,,,
8,파펠커피,0507-1360-8086,"세종 소담4로 7 3동 1층 80, 80a호",08:00 ~ 20:00,일,19:30,하우스블랜딩," ₩	4,500 ",5,0,0,x,0,x,친절한 사장님이 정성을 다해 만들어주시는 맛있는 커피를 먹을 수 있는 로스터리카페
,,,,,,,싱글,5000~,,,,,,,
,,,,,,,아메리카노," ₩	3,500 ",,,,,,,
,,,,,,,스윗치노," ₩	5,000 ",,,,,,,
,,,,,,,크림커피," ₩	5,500 ",,,,,,,
,,,,,,,크럼블,,,,,,,,
,,,,,,,라즈베리/사과/무화과크림치즈," ₩	3,500 ",,,,,,,
,,,,,,,,,,,,,,,
9,카페어서와,0507-1350-1787,세종 한누리대로 2009 펠리체타워2 111호,11:00 ~ 20:00,일,19:30,아메리카노," ₩	3,300 ",6,0,0,x,0,0,친절한 사장님이 기분좋게 맞아주시는 기분좋은 카페
,,,,11:00 ~ 18:00,,17:30,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,쑥라떼," ₩	4,500 ",,,,,,,
,,,,,,,생딸기라떼," ₩	4,000 ",,,,,,,
,,,,,,,,,,,,,,,
10,로만플라워카페,0507-1418-3023,세종 남세종로 357 새샘마을1단지 상가 3동 308호,10:00 ~ 19:00 ,일,18:30,아메리카노," ₩	5,000 ",3,0,0,x,0,x,향긋한 꽃내음과 진한커피 달콤한 디저트를 함께 즐길 수 있는 플라워카페
,,,,,,,카페라떼," ₩	6,000 ",,,,,,,
,,,,,,,클래식초코칩쿠키," ₩	2,500 ",,,,,,,
,,,,,,,르뱅쿠키," ₩	3,600 ",,,,,,,
,,,,,,,플레인스콘," ₩	3,200 ",,,,,,,
,,,,,,,,,,,,,,,
11,캐치브로잉,0507-1480-3500,세종 한누리대로 2012 코끼리타워 1층 106호 케치브루잉,10:30 ~ 19:00,일,18:50,브루잉커피,4800~,6,0,0,x,0,x,티같이 마시기 편한 커피를 지향하는 핸드드립 전문 카페
,,,,,,,티,,,,,,,,
,,,,,,,블루베리히비스커스/탠저린진저," ₩	5,000 ",,,,,,,
,,,,,,,쿠키,,,,,,,,
,,,,,,,월넛초콜릿/무화과크럼블/말차오레오,3.5/3.9/3.8,,,,,,,
,,,,,,,,,,,,,,,
12,잇츠,044-417-6452,세종 국책연구원1로 15 상가C동 1층 104호,08:00 ~ 19:00,일,18:30,뱅쇼," ₩	5,000 ",5,0,0,0,0,0,프리미엄생두로 직접 로스팅한 원두와 유럽에서 건너온 디저트를 함께 즐길 수 있는 조용한 카페
,It's,,,토 09:00 ~ 19:00,,18:30,바닐라라떼," ₩	4,500 ",,,,,,,
,,,,,,,연유라떼," ₩	4,500 ",,,,,,,
,,,,,,,아몬드크림,,,,,,,,
,,,,,,,라떼/모카," ₩	5,500 ",,,,,,,
,,,,,,,아인슈페너," ₩	4,500 ",,,,,,,
,,,,,,,크로와상," ₩	3,000 ",,,,,,,
,,,,,,,,,,,,,,,
13,마르샘,0507-1373-1151,세종 한누리대로 2007 퍼스트시티 1층 108호,10:00 ~ 20:00,일,19:30,아메리카노," ₩	2,000 ",6,0,0,x,0,x,기본에 충실한 음료와 쌀과 천연재료로 만든 건강한 베이커리를 판매하는 나만알고싶은 아지트같은 카페
,,,,,,,카페라떼," ₩	3,000 ",,,,,,,
,,,,,,,호두품은붕어빵," ₩	3,000 ",,,,,,,
,,,,,,,마카롱," ₩	2,500 ",,,,,,,
,,,,,,,수제티,,,,,,,,
,,,,,,,자몽/레몬," ₩	4,000 ",,,,,,,
,,,,,,,레몬생강차," ₩	5,000 ",,,,,,,
,,,,,,,,,,,,,,,
14,한양도나스,044-862-2726,세종 한누리대로 2022 112호(한양도나스),10:00 ~ 20:00,없음,19:50,꽈배기/초코꽈배기,1.0/2.0,1,0,0,0,0,x,곧 생활의 달인에 나올것만 같은 사장님이 만드는 바로 튀겨서 나오는 도나스 맛집
,,,,,,재료소진,팥도나스," ₩	1,500 ",,,,,,,
,,,,,,,찹쌀도나스 (3개)," ₩	2,000 ",,,,,,,
