1,첼시베이커리,0507-1322-3477,세종 다정중앙로 45,08:00 ~ 23:00,없음,재료소진,서산육쪽마늘빵," ₩	3,800 ",3,0,0,0,0,x,마늘빵과 베이글을 대표로 다정동을 넘어서 세종시 대표 베이커리카페
,,,,,,,어니언베이글," ₩	4,500 ",,,,,,,
,,,,,,,떠먹는 초코생크림 케이크," ₩	8,000 ",,,,,,,
,,,,,,,,,,,,,,,
2,핑크베어,0507-1479-0625,세종 다정중앙로 20 7단지 아파트 상가건물 자하1층 241호,09:30 ~ 18:00,일,17:30,아메리카노," ₩	4,000 ",6,0,0,0,0,x,아기자기하고 이쁜 인테리어와 최고의 재료만 고집하여 만든 맛있는 디저트를 맛볼 수 있는 카페
,,,,10:00 ~ 15:00,,14:30,바닐라라떼," ₩	4,500 ",,,,,,,
,,,,,,,초코라떼 / 딸기라떼," ₩	5,000 ",,,,,,,
,,,,,,,마들렌,,,,,,,,
,,,,,,,핑크베어 / 헤이즐땅콩 / 바닐라빈," ₩	3,000 ",,,,,,,
,,,,,,,blt샌드위치," ₩	6,500 ",,,,,,,
,,,,,,,바스크치즈케이크," ₩	9,000 ",,,,,,,
,,,,,,,,,,,,,,,
3,커피한잔,0507-1368-0013,세종 다정중앙로 77 상가 3동 1층 306호,10:30 ~ 20:00,일,19:30,아메리카노," ₩	3,500 ",4,0,0,0,0,x,커피뿐 아니라 키토김밥과 방탄커피 등 저탄고지 식단을 즐길 수 있는 카페
,,,,토. 10:30 ~ 19:00,,18:30,방탄커피," ₩	5,500 ",,,,,,,
,,,,평일 15:30 ~ 16:30 브레이크타임,,,방탄코코아/그린티," ₩	6,500 ",,,,,,,
,,,,,,,키토김밥,,,,,,,,
,,,,,,,참치마요 / 매운어묵 / 크라이바마요," ₩	8,500 ",,,,,,,
,,,,,,,,,,,,,,,
4,다이브커피,0507-1368-0812,세종 다정북로 109 상가 110-2호,08:10 ~ 18:30,일,18시,바닐라라떼," ₩	4,500 ",3,0,0,x,0,x,깔끔하고 조용한 분위기의 대화하기 좋은 카페
,,,,,,,연유라떼," ₩	5,000 ",야외 3,,,,,야외가능,
,,,,,,,아인슈페너," ₩	4,500 ",,,,,,,
,,,,,,,크림라떼," ₩	5,000 ",,,,,,,
,,,,,,,로즈힐," ₩	4,000 ",,,,,,,
,,,,,,,,,,,,,,,
5,폴앤니나,044-868-6722,세종 다정남로 130 가온마을11단지 상가 B동 107호,09:00 ~ 21:00,일,21:30,아메리카노," ₩	3,500 ",3,0,0,x,0,x,아담하고 조용한 혼자오기에도 부담스럽지 않은 카페
,,,,토. 09:00 ~ 17:00,,16:30,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,초코오레오스무디," ₩	5,500 ",,,,,,,
,,,,,,,허브차," ₩	3,500 ",,,,,,,
,,,,,,,수제쿠키," ₩	2,500 ",,,,,,,
,,,,,,,티라미수," ₩	4,500 ",,,,,,,
,,,,,,,,,,,,,,,
6,다정상회 디저트카페,0507-1435-0629,세종 다정중앙로 20 S002동 1층 ,10:00 ~ 20:00,없음,19:30,생강차," ₩	4,000 ",6,0,0,x,0,x,6차인증 경영업체에서 100%우리 농산물로만 만든 건강한 음료를 즐길 수 있는 카페
,,,,"토,일 12:00 ~ 18:00",,17:30,착즙주스," ₩	5,000 ",,,,,,,
,,,,,,,사과/사과당근/사과비트/사과케일,,,,,,,,
,,,,,,,귤차," ₩	5,000 ",,,,,,,
,,,,,,,군밤라떼," ₩	5,000 ",,,,,,,
,,,,,,,콩물," ₩	5,000 ",,,,,,,
