1,라운지엑스,0507-1404-1000,세종 종합운동장로 29 JB빌딩 1~2층,10:00 ~ 18:00,없음,17:30,로봇드립커피," ₩	7,000 ",1층 4,0,0,x,0,x,심플한 대형베이커리 매장으로 사람과 로봇바리스타가 함께 커피를 만드는 이색적인 카페
,,,,"토,일 10:00 ~ 20:00",,19:30,더블라떼 ," ₩	5,500 ",2층 16,,,,,,
,,,,,,,리치캐모마일," ₩	6,000 ",테라스 6,,,,,,
,,,,,,,맘모스빵," ₩	4,500 ",,,,,,,
,,,,,,,앙버터," ₩	4,500 ",,,,,,,
,,,,,,,먹물소금빵," ₩	2,500 ",,,,,,,
,,,,,,,,,,,,,,,
2,도이힐커피,044-865-5632,세종 한누리대로 2236 상가동 A동 121호,08:30 ~ 19:30,일,19시,콜드브루," ₩	3,500 ",5,0,0,0,0,x,아늑하고 조용한 분위기의 카페 테이크아웃 시 보틀에 담아주심
,,,,,,,트리플자몽," ₩	4,900 ",,,,,,,
,,,,,,,도이라떼," ₩	5,500 ",,,,,,,
,,,,,,,스파클링콜드브루," ₩	3,900 ",,,,,,,
,,,,,,,,,,,,,,,
3,풀립커피,010-3683-5635,세종 대평1길 37 해들마을2단지 상가 107호,10:00 ~ 21:00,없음,20:30,풀립라떼," ₩	5,000 ",8,0,0,x,0,x,넓은 매장과 깔끔한 디자인 시그니처음료들이 하나도 빠짐없이 맛있는 카페
,,,,,,,흑임자커피," ₩	5,900 ",,,,,,,
,,,,,,,소금커피," ₩	5,900 ",,,,,,,
,,,,,,,크로플," ₩	8,900 ",,,,,,,
,,,,,,,,,,,,,,,
4,얼쓰인어스,044-999-4219,세종 대평로 86 A동 102호,16:00 ~ 21:00,화,20:30,비건스콘," ₩	5,500 ",5,0,0,x,0,x,세종에서 찾아보기 힘든 비건전문 브런치매장
,,,,"토,일 13:00 ~ 19:00",,,비건팬케익," ₩	6,000 ",,,,,,,
,,,,,,,양송이오트밀스프," ₩	6,000 ",,,,,,,
,,,,,,,베지바게뜨," ₩	8,000 ",,,,,,,
,,,,,,,달걀만두," ₩	8,000 ",,,,,,,
