1,플레져,044-272-9488,세종 어울누리로67 상가동 49층 4901호,11:00 ~ 23:00,없음,22시,바닐라크림라떼," ₩	9,000 ",32,0,0,x,0,*,49층 높이에서 세종을 내려다보는 뻥 뚫린 뷰
,,,,,,,버터크림라떼," ₩	9,000 ",,,,,,,
,,,,,,,나머지는 사진.,,,,,,,,
,,,,,,,,,,,,,,,
2,카페 스테이인터뷰 나성,0507-1368-4678,"세종 나성북로47 나릿재마을4단지 132,133,134호",10:00 ~ 22:00,없음,21시,아메리칸 브런치," ₩	13,000 ",26,0,0,x,0,야외가능,넓고 쾌적한 매장
,,,,,,,콘파냐," ₩	4,000 ",,,,,,,커피뿐 아니라 와인도 판매
,,,,,,,와인플래터," ₩	20,000 ",,,,,,,외국느낌의 인테리어
,,,,,,,글라스와인," ₩	6,000 ",,,,,,,
,,,,,,,나머지는 사진.,,,,,,,,
,,,,,,,,,,,,,,,
3,온기,0507-1769-6577,"세종 나성북로 47 119호, 120호, 137호",11:00 ~ 21:00,화요일,19:30분,치즈쉬림프오믈렛," ₩	15,000 ",9,0,0,0,0,*,브런치맛집
,,,,,,,클래식브런치," ₩	15,000 ",,,,,,,따듯한 느낌의 인테리어
,,,,,,,훈제연어오븐샌드위치," ₩	13,000 ",,,,,,,
,,,,,,,,,,,,,,,
4,메타45,044-862-4502,세종 나성북1로 51 601동 45층,11:00 ~ 23:00,없음,22시,아메리카노," ₩	6,000 ",48,0,0,x,0,*,지상 200m 높이에 카페
,,,,,,,아인슈페너," ₩	7,000 ",,,,,,,세종시 스카이뷰
,,,,,,,,,,,,,,,
5,페이버베이크숍,0507-1343-5020,세종 한누리대로292 1층,11:00 ~ 21:00,없음,20:30분,아메리카노," ₩	3,500 ",7,0,0,0,0,*,모든 메뉴는 매장에서 직접만들어 당일제조 당일판매를 원칙
,,,,,,,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,크로플," ₩	5,500 ",,,,,,,
,,,,,,,,,,,,,,,
6,바바라코코로스터리,0507-1312-7488,세종 어울누리로 67 상가1층 155~158,09:00 ~ 21:00,없음,20:30분,아메리카노," ₩	4,800 ",13,0,0,0,0,*,직접 로스팅한 스페셜티 커피 원두도 별도판매
,,,,,,,"아포카토 (초코,말차)"," ₩	5,800 ",,,,,,,매일매일 바뀌는 베이커리
,,,,,,,플로트라떼," ₩	6,800 ",,,,,,,넓고 깔끔한 분위기의 매장
,,,,,,,"소금라떼 (말차,초코, 핑크)"," ₩	6,500 ",,,,,,,
,,,,,,,세종막걸리케익,,,,,,,,
,,,,,,,,,,,,,,,
7,카페이노스,010-6608-1774,세종 한누리대로 249 1층,08:00 ~ 21:00,없음,20:30분,1L 아메리카노," ₩	3,500 ",12,0,0,0,0,*,매일매일 다양하게 준비되는 탕종식빵 (8~10가지)
,,,,,,,달고나카페라떼," ₩	4,200 ",,,,,,,
,,,,,,,앙버터크루아상," ₩	3,900 ",,,,,,,
,,,,,,,"오꾸밥 (소고기,참치마요,까르보나라)"," ₩	2,000 ",,,,,,,
,,,,,,,"유로밥 (로제치즈,불닭치즈,매콤김치)"," ₩	2,000 ",,,,,,,
,,,,,,,,,,,,,,,
8,아웃오브컴포트,0507-1376-5552,세종 한누리대로 194 1층,08:00 ~ 19:00,일요일,18시,배치브루 (점심한정 그날의 원두)," ₩	4,500 ",10,0,0,x,0,x,산지제철의 생두를 골라 매장에서 직접로스팅하여 원두 및 커피로 판매
,,,,토.12~18,,17시,수제 바닐라빈 라떼," ₩	5,300 ",,,,,,,심플한 디자인의 인테리어
,,,,,,,Aussie'치노 (호주식카푸치노)," ₩	4,500 ",,,,,,,
,,,,,,,플렛화이트," ₩	4,300 ",,,,,,,
,,,,,,,,,,,,,,,
9,플리즈,0507-1327-3364,"세종 나성로96 더센트롤 311,312호",11:00 ~ 20:00,없음,19:30분,아메리카노," ₩	5,000 ",9,0,0,x,0,x,키즈카페와 오리지널 카페를 동시에 느낄 수 있는 컨셉
,,,,,,,플리즈라떼," ₩	6,800 ",,,,,,,
,,,,,,,그릭요거트," ₩	5,000 ",,,,,,,
,,,,,,,드링킹요거트," ₩	6,500 ",,,,,,,
,,,,,,,고구마크림치즈베이글," ₩	4,500 ",,,,,,,
,,,,,,,,,,,,,,,
10,샐러몽,0507-1339-9571,세종 한누리대로223 리베라아이누리 1층 104호,10:00 ~ 20:00,일요일,19:50분,수제밀크티," ₩	5,000 ",11,0,0,0,0,x,매일매일 다른종류의 샐러드 샌드위치를 셋트로 판매함
